book_title,book_author,book_translator,book_pub_date,book_isbn
GAN 첫걸음,타리크 라시드 ,고락윤 ,2021-03-10,9791162243954
처음부터 제대로 배우는 라라벨,맷 스타우퍼 ,"이현석 , 안정수 ",2020-12-04,9791162243688
한글 재미 그림책 3권 세트,"김세실 , 김희선(그림) , 김효주(그림) , 이혜영(그림) ",,2021-02-10,9791162243916
쿠버네티스 모범 사례,"브렌던 번스 , 에디 비얄바 , 데이브 스트레벨 , 라클런 이븐슨 ",장정호 ,2020-12-01,9791162243640
안전한 인공지능 시스템을 위한 심층 신경망 강화,케이티 워 ,김영하 ,2020-12-01,9791162243534
처음 배우는 스위프트,탠메이 박시 ,우정은 ,2020-12-04,9791162243725
"3D 프린터 101 : 기초부터 활용까지, 3D 프린터의 모든 것(개정판)",안상준 ,,2018-07-15,9791162240793
처음 배우는 애저 : Azure Portal로 배우는 애저 도입부터 활용까지,김도균 ,,2020-12-23,9791162243695
혼자 공부하는 머신러닝+딥러닝,박해선 ,,2020-12-21,9791162243664
비즈니스 머신러닝,"더그 허전 , 리처드 니콜 ","김정민 , 문선홍 , 정용우 ",2020-12-23,9791162243657
머신러닝을 위한 실전 데이터셋,"칼리드 엘 에맘 , 루시 모스케라 , 리처드 홉트로프 ",심상진 ,2021-01-04,9791162243749
이것이 C#이다(개정판),박상현 ,,2021-01-18,9791162243770
혼자 공부하는 자바스크립트,윤인성 ,,2021-01-04,9791162243671
소프트웨어 스펙의 모든 것,"김익환 , 전규현 ",,2021-01-05,9791162243732
신경망 첫걸음,타리크 라시드 ,송교석 ,2017-04-03,9788968483509
재미있고 빠른 읽기 떼는 동화 세트,"김세실 , 송승주 , 김예실 , 박선호 ",,2019-05-01,9791162241714
스웨덴 사람들은 왜 피곤하지 않을까,박민선 ,,2014-04-28,9791195153848
3D 프린팅을 위한 스케치업,리디아 클라인 ,민혜기 ,2017-05-01,9788968483578
우리는 왜 위험한 것에 끌리는가,리처드 스티븐스 ,김정혜 ,2016-03-22,9791157841202
도쿄의 오래된 상점을 여행하다,"여지영 , 이진숙 ",,2014-05-21,9791195153817
매니징 쿠버네티스,"브렌던 번스 , 크레이그 트레이시 ",오성근 ,2019-06-05,9791162241929
잘 자고 잘 먹는 아기의 시간표,정재호 ,,2014-05-28,9791195153886
엄마는 약 선생,윤수진 ,,2014-08-04,9791195153893
마사 스튜어트 미술놀이대백과 175,마사 스튜어트 리빙 ,서라미 ,2014-08-14,9791195153879
아기 100일 엄마 100일,"황덕상 , 정민형 ",,2016-04-20,9791185933375
"욕심이 차오를 때, 노자를 만나다",박영규 ,,2017-10-25,9791157842094
당신의 행복이  어떻게 세상을 구하냐고 물으신다면,콜린 베번(Colin Beavan) ,이은선 ,2018-04-03,9791157842520
"필사, 쓰는 대로 인생이 된다",김시현 ,,2016-12-22,9791157841639
내가? 정치를? 왜?,"이형관 , 문현경 ",,2017-10-30,9791157842100
도마뱀을 설득하라,제임스 크리민스 ,정수진 ,2017-11-06,9791157842063
화성인도 읽는 우주여행 가이드북,닐 코민스 ,박아람 ,2017-11-16,9791157842162
재미있고 빠른 읽기 떼는 동화 - 받침 있는 글자,"김예실 , 권지은 ",,2019-05-01,9791162241738
처음 배우는 스위프트,탠메이 박시 ,우정은 ,2020-12-04,9791162243725
반경 5미터의 행복,다카시마 다이 ,전화윤 ,2018-04-06,9791157842551
잘 먹고 더 움직이고 잘 자라,톰 래스 ,김태훈 ,2014-02-28,9791195153831
지금 세계는 무엇을 생각하는가,오카모토 유이치로(岡本裕一朗) ,전경아 ,2018-04-20,9791157842575
크로아티아의 작은 마을을 여행하다,양미석 ,,2015-03-16,9791185933108
3D 프린터 101,"안상준 , 정재학 ",,2017-03-02,9788968483424
자포스는 왜 버려진 도시로 갔는가,에이미 그로스(Aimee Groth) ,이정란 ,2018-04-23,9791157842582
아이주도 이유식,"질 래플리 , 트레이시 머켓 ",정수진 ,2014-09-25,9791185933030
3D 프린터 101,"안상준 , 정재학 ",,2017-03-02,9788968483424
단어 하나 바꿨을 뿐인데,하마다 이오리 ,정은희 ,2018-05-14,9791157842629
다크사이드,"토드 카시단 , 로버트 비스워스 디너 ",,2018-05-28,9791157842667
저는 가상화폐가 처음인데요,김태형 ,,2018-06-01,9791157842643
원칙,레이 달리오(Ray Dalio) ,고영태 ,2018-06-05,9791157842636
로봇 시대에 불시착한 문과형 인간,다카하시 도루 (岡本裕一朗) ,김은혜 ,2018-06-19,9791157842704
누가 김부장을 죽였나,김영선 ,,2018-07-16,9791157842735
길고양이들은 배고프지 말 것,이상교 ,,2018-07-17,9791157842711
대한민국 아파트 부의 지도,이상우 ,,2018-06-29,9791157842728
이젠 내 시간표대로 살겠습니다,미카엘라 청 ,김정혜 ,2018-08-16,9791157842780
"3D 프린터 101 : 기초부터 활용까지, 3D 프린터의 모든 것(개정판)",안상준 ,,2018-07-15,9791162240793
매니징 쿠버네티스,"브렌던 번스 , 크레이그 트레이시 ",오성근 ,2019-06-05,9791162241929
우주에도 우리처럼,"아베 유타카 , 아베 아야코 ",정세영 ,2018-08-30,9791157842827
퇴근길 인문학 수업 : 멈춤,백상경제연구원 ,,2018-09-11,9791157842858
아마추어,앤디 메리필드 ,박준형 ,2018-08-30,9791157842834
